HCN,H2S,Cl2,COCl2,NH3,CS2,CH3Br,Toxic
n,n,n,y,y,y,y,yes
n,n,n,y,y,n,y,no
y,y,y,n,n,y,y,yes
y,y,n,n,n,y,y,yes
y,y,n,n,n,y,y,yes
y,y,n,n,n,y,y,yes
y,y,y,n,n,y,y,yes
n,n,y,y,y,n,y,no
y,y,y,n,n,y,y,yes
n,n,n,y,y,n,n,no
y,y,y,y,n,y,y,yes
n,n,n,y,y,n,y,no
y,y,n,n,n,y,y,yes
n,n,n,y,y,n,n,no
n,n,n,y,y,n,y,no
n,n,y,y,y,n,n,no
y,y,y,y,n,y,y,yes
y,n,n,n,n,n,y,yes
y,n,n,n,n,y,y,yes
y,y,n,n,n,n,y,yes
n,n,n,n,y,n,y,yes
y,y,y,n,n,y,y,yes
y,n,y,y,y,n,n,no
n,y,y,y,y,n,n,no
n,y,y,y,y,n,y,no
n,n,y,y,y,n,y,no
n,n,y,y,y,n,y,no
n,n,n,y,y,n,n,no
y,y,y,n,n,n,y,yes
n,n,y,y,y,n,y,no
n,y,y,y,y,n,y,no
n,n,y,y,y,n,n,no
y,y,n,n,n,y,y,yes
y,y,y,n,y,n,y,no
y,n,n,y,y,n,y,no
y,y,y,n,y,y,y,yes
y,y,n,y,y,n,n,yes
y,y,y,y,y,n,y,yes
y,y,n,y,y,n,y,yes
n,n,n,n,y,n,n,no
n,n,n,y,y,n,y,no
n,n,n,n,y,n,n,no
n,n,y,y,y,n,y,yes
n,n,n,y,y,n,n,no
n,n,n,n,y,n,n,no
y,y,n,y,y,n,y,yes
y,y,n,n,n,y,y,yes
y,y,y,n,n,y,y,yes
y,y,n,n,n,y,y,yes
n,n,n,n,n,n,y,yes
y,y,n,n,y,n,y,yes
y,y,y,y,n,n,y,yes
n,n,y,n,y,n,y,yes
n,y,n,n,y,n,y,yes
y,y,n,n,n,y,y,yes
n,n,n,y,y,n,y,no
y,n,n,n,n,y,y,yes
y,y,n,n,n,y,y,yes
n,n,y,y,y,n,y,no
y,y,n,n,n,y,y,yes
n,n,n,n,y,n,n,no
n,n,n,n,y,n,y,no
y,n,n,n,y,n,y,yes
n,n,n,y,y,n,y,no
n,n,n,y,y,n,n,no
y,y,y,y,n,n,y,no
y,n,n,n,y,n,y,yes
y,y,n,n,n,y,y,yes
y,n,n,y,y,n,y,no
y,n,y,y,y,n,y,no
n,n,n,y,y,n,y,no
y,n,y,y,y,y,y,yes
n,y,y,y,y,n,y,no
y,n,n,y,n,y,y,yes
y,n,y,y,y,n,y,no
y,y,y,y,n,y,y,yes
y,y,n,y,y,n,y,yes
n,n,n,y,y,n,n,no
n,n,y,y,y,n,n,no
n,n,y,y,y,n,n,no
n,n,n,y,y,y,y,yes
n,n,n,y,y,n,y,yes
n,y,y,y,y,n,y,yes
n,n,y,y,y,n,y,no
y,n,y,n,y,y,y,no
y,y,y,n,y,y,y,no
y,y,n,n,y,n,y,yes
n,n,y,y,y,n,y,yes
y,y,n,n,n,y,y,yes
y,n,n,n,y,y,y,no
y,y,n,n,n,y,y,yes
y,y,n,n,n,y,y,yes
y,y,n,n,n,y,y,yes
y,y,y,n,n,y,y,yes
y,n,n,n,n,y,y,yes
n,y,n,n,y,y,y,yes
n,n,n,n,n,y,y,yes
n,n,n,n,y,y,y,yes
y,y,n,n,n,y,y,yes
y,y,y,y,n,y,y,yes
y,y,n,n,n,y,y,yes
n,n,y,y,y,n,y,no
y,n,y,n,n,n,y,yes
n,n,n,n,y,n,y,no
y,y,y,y,n,n,y,yes
y,n,n,n,n,y,y,yes
n,n,y,y,y,n,y,no
n,y,n,n,n,y,y,yes
y,y,n,y,n,y,y,yes
y,n,y,y,y,n,y,no
n,n,y,y,y,n,n,no
n,y,n,n,y,y,y,yes
n,n,n,n,y,n,y,no
n,y,n,n,y,y,y,yes
y,n,y,y,y,n,y,no
n,n,n,y,y,n,y,no
y,n,y,y,y,n,y,no
n,n,y,y,y,n,y,no
n,n,n,n,y,n,y,no
n,n,n,n,n,y,y,yes
n,n,y,y,n,n,y,yes
y,n,n,n,y,y,y,no
y,y,n,n,y,y,y,yes
y,n,n,n,n,y,y,yes
y,y,y,n,n,y,y,yes
n,n,n,y,y,n,n,no
n,n,n,y,y,n,n,no
y,y,y,n,n,y,y,yes
n,n,n,y,y,n,y,no
y,y,n,n,n,n,y,yes
y,n,n,n,y,y,y,yes
n,n,n,n,n,n,n,no
n,y,n,n,n,y,y,yes
y,n,n,n,n,n,y,yes
y,y,n,n,n,n,y,yes
y,y,n,n,n,n,y,yes
n,n,n,n,y,n,y,no
y,n,n,n,y,n,y,no
y,n,n,n,n,n,y,yes
y,y,n,n,n,y,y,yes
y,n,n,n,y,y,y,no
n,n,n,n,y,y,n,no
y,n,n,n,y,n,y,no
n,n,n,n,y,n,y,no
n,n,n,y,y,n,n,no
y,n,n,n,y,n,y,yes
n,n,n,n,y,n,y,no
y,y,y,n,n,y,y,yes
y,y,n,y,y,y,y,yes